Project Name,Address,Zip Code,Total Units ,Total Affordable Units,Unit Type,Housing Type,Status,1 Person Household ,2 Person Household,3 Person Household ,4 Person Household,5 Person Household ,Property Management Company,Phone ,Website ,Longitude,Latitude.,Location
1700 Martin Luther King Jr Boulevard,1700 Martin Luther King Jr Boulevard,78722,2,2,Duplex,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/,-97.7231130036985,30.279913222,"(30.279913222, -97.7231130036985)"
907 Spence Street,907 Spence Street,78702,1,1,Duplex,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org,-97.7358045754509,30.2586854019468,"(30.2586854019468, -97.7358045754509)"
The 704,3401 S Lamar Boulevard,78704,378,38,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,CWS,512-481-7230,https://www.cwsapartments.com/apartments/tx/austin/the-704/,-97.7847096867993,30.2416130700261,"(30.2416130700261, -97.7847096867993)"
Riverside Meadows Apartments,1601 Montopolis Drive,78741,240,240,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,,512-385-9400,,-97.7011665701446,30.2277182996685,"(30.2277182996685, -97.7011665701446)"
1141 Shady Lane Mixed Use,1141 Shady Lane,78721,3,2,Multifamily,Residential Housing,Building Permit Issued,48200,55050,61950,68800,74350,,,,-97.690803,30.262632,"(30.262632, -97.690803)"
Corazon,1000 E 5th Street,78702,332,35,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Cap Tex Properties,512-801-3792,http://www.corazonatxapartments.com/,-97.7322610011026,30.2643458900374,"(30.2643458900374, -97.7322610011026)"
21 Rio,2101 Rio Grande Street,78705,299,30,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,CA Ventures,512-391-1991,https://www.21rio.com/,-97.7447427658064,30.2842161992591,"(30.2842161992591, -97.7447427658064)"
The Tree,3715 S 1st Street,78704,336,34,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Greystar,512-524-8000,https://www.greystar.com/properties/austin-tx/tree-apartments?sc_lang=en,-97.767314651984,30.2289841389543,"(30.2289841389543, -97.767314651984)"
1109 Spearson Lane,1109 Spearson Lane,78745,3,3,Single Family,Transitional Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.7942021779392,30.2013845727143,"(30.2013845727143, -97.7942021779392)"
2412 Bryan Street,2412 Bryan Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Blackshear Neighborhood Development Corportation,512-476-2222,,-97.7163493772762,30.2670946060283,"(30.2670946060283, -97.7163493772762)"
2106 Chicon Street,2106 Chicon Street,78722,1,1,Single Family,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/housing/,-97.72201072816,30.2824128398308,"(30.2824128398308, -97.72201072816)"
Rosemont at Oak Valley (fka Pleasant Valley Villas),2800 Collins Creek Drive,78741,280,280,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Good Harbor Management,512-326-5155,http://rosemontatoakvalley.com/,-97.731191,30.224565,"(30.224565, -97.731191)"
Block on 25th West,2501 Pearl Street,78705,80,8,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,American Campus Communities,512-478-9811,http://www.theblockwestcampus.com/p/student_housing/25_west_mobile/austin-tx-78705/the-block-on-campus-6569,-97.7462254006299,30.2895845545353,"(30.2895845545353, -97.7462254006299)"
Estancia Villas,1200 Estancia Parkway,78748,312,31,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,JCI Residential,512-291-4040,http://www.estanciavillas.com,-97.806329,30.123555,"(30.123555, -97.806329)"
Heritage Heights,1609 E 11th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.72386,30.267028,"(30.267028, -97.72386)"
2107 Salina Street,2107 Salina Street,78722,1,1,Single Family,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/housing/,-97.7225591677977,30.2820867380412,"(30.2820867380412, -97.7225591677977)"
1112 E 10th Street,1112 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org,-97.7282647529115,30.2682052936843,"(30.2682052936843, -97.7282647529115)"
Highland Phase II South,109 Jacob Fontaine Lane,78752,168,17,Multifamily,Residential Housing,Building Permit Issued,48200,55050,61950,68800,74350,,,,-97.714668,30.324758,"(30.324758, -97.714668)"
908 Neal Street,908 Neal Street,78702,2,2,Duplex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.710236739434,30.2686070180355,"(30.2686070180355, -97.710236739434)"
2203 Salina Street Rehab,2203 Salina Street,78722,1,1,Single Family,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/housing/,-97.722755,30.282993,"(30.282993, -97.722755)"
The Quarters at Bandera House,2215 Rio Grande Street,78705,155,16,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,San Miguel Management,512-400-3095,https://www.2215west.com/,-97.7446130450185,30.2864511210888,"(30.2864511210888, -97.7446130450185)"
70 Rainey Street,70 Rainey Street,78721,173,9,Multifamily,Residential Housing,Building Permit Issued,48200,55050,61950,68800,74350,Worth Ross Management Company,512-476-7010,https://70rainey.com/,-97.739040841415,30.2583934293919,"(30.2583934293919, -97.739040841415)"
1211 Inks Avenue,1211 Inks Avenue,78702,2,2,Duplex,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.727998,30.26597,"(30.26597, -97.727998)"
AMLI - South Shore Phase I,1620 E Riverside Drive,78741,375,19,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Amli Residential,512-447-1620,https://www.amli.com/apartments/austin/central-east-austin/austin/south-shore,-97.730066,30.245117,"(30.245117, -97.730066)"
4902 West Wind Trail,4902 West Wind Trail,78745,4,1,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Frameworks Community Development Corporation,512-385-1500,https://frameworkscdc.org/,-97.8032722816043,30.2276424167489,"(30.2276424167489, -97.8032722816043)"
Jeremiah House,1200 Paul Theresa Saldana Street,78702,35,35,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.703014,30.269267,"(30.269267, -97.703014)"
Heights on Parmer,1500 Parmer Lane,78727,252,252,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Pedcor Management Corporation,512-7179112,http://www.pedcormanagement.com/Home?ID=270,-97.6517323670586,30.3904719905596,"(30.3904719905596, -97.6517323670586)"
SOL,5921 Ventus Street,78721,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.6846594269009,30.2581281793287,"(30.2581281793287, -97.6846594269009)"
Quarters at Grayson,714 W 22nd Street,78705,100,10,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Quarters on Campus,512-531-0123,http://quartersoncampus2.businesscatalyst.com/grayson.html,-97.7463085316981,30.2855074737524,"(30.2855074737524, -97.7463085316981)"
The Reserve at Walnut Creek (fka Springdale Apartments),8038 Exchange Drive,78754,98,98,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Roscoe Properties,512-926-6565,https://www.reserveatwalnutcreek.com/,-97.664626,30.332583,"(30.332583, -97.664626)"
2106 Chestnut Avenue,2106 Chestnut Avenue,78722,1,1,Single Family,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/housing/,-97.7180546305809,30.2830115040421,"(30.2830115040421, -97.7180546305809)"
Plaza Saltillo,1011 E 5th Street,78702,278,41,Multifamily,Residential Housing,Building Permit Issued,30100,24400,38700,43000,46450,Lincoln Property Company,512-476-1000,https://www.residencesatsaltillo.com/residences-at-saltillo-austin-tx/,-97.732588,30.263744,"(30.263744, -97.732588)"
Heritage Heights,1607 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.724503,30.266121,"(30.266121, -97.724503)"
LaMadrid Apartments,11320 Manchaca Road,78748,95,83,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Accolade Property Management,512-590-9423,http://www.lamadridapartments.com/,-97.8283576485475,30.1659001366289,"(30.1659001366289, -97.8283576485475)"
7314 Meador Avenue,7314 Meador Avenue,78752,2,2,Duplex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,,,,-97.695256354235,30.3314871526481,"(30.3314871526481, -97.695256354235)"
Cardinal Point Apartments,11015 Four Points Drive,78730,120,120,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Foundation Communities,512-381-4599,http://foundcom.org/housing/our-austin-communities/cardinal-point/,-97.8457707088684,30.3990768259772,"(30.3990768259772, -97.8457707088684)"
St. James Apartments,5514 Roosevelt Avenue,78756,9,2,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Burlington Ventures,512-476-0111,http://burlingtonventures.com/saint-james-5514-roosevelt/,-97.7329699500947,30.3269383823952,"(30.3269383823952, -97.7329699500947)"
AMLI at Mueller II,2401 Aldrich Street,78723,318,48,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Amli Residential,512-879-6744,https://www.amli.com/apartments/austin/central-austin/austin/aldrich?switch_code=58696,-97.702038,30.302392,"(30.302392, -97.702038)"
"Garden Terrace Expansion (aka Garden Terrace, Phase II)",1015 W William Cannon Drive,78745,15,15,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Foundation Communities,512-416-8300,http://foundcom.org/housing/our-austin-communities/garden-terrace/,-97.7934265318501,30.1986408937312,"(30.1986408937312, -97.7934265318501)"
Amli on 2nd,421 W 3rd Street,78701,231,12,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Amli Residential,512-472-0421,https://www.amli.com/apartments/austin/downtown/austin/2nd-street/floorplans,-97.748074,30.266143,"(30.266143, -97.748074)"
Heritage Heights,1626 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.723066,30.266016,"(30.266016, -97.723066)"
Manor House,5905 Manor Road,78723,11,11,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Volunteers of America,512-928-2015,https://www.voa.org/housing_properties/manor-house-apartments,-97.6794086087417,30.3066003795593,"(30.3066003795593, -97.6794086087417)"
Commons at Goodnight (fka Villages at Goodnight),2022 E Slaugther Lane,78747,304,304,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,,,,-97.768542,30.152822,"(30.152822, -97.768542)"
Heritage Heights,1623 E 11th Steet,78723,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.723054,30.266717,"(30.266717, -97.723054)"
Heritage Heights,1605 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.724673,30.266166,"(30.266166, -97.724673)"
The Nine at Rio,2100 Rio Grande Street,78705,109,11,Multifamily,Student Housing,Building Permit Issued,36120,41280,46440,51600,55740,,737-777-9226,https://www.liveatninerio.com/,-97.745293,30.284272,"(30.284272, -97.745293)"
Arbor Terrace,2501 S IH-35,78741,120,120,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Foundation Communities,512-610-0817,http://foundcom.org/housing/our-austin-communities/arbor-terrace/,-97.7413954956676,30.2314602729335,"(30.2314602729335, -97.7413954956676)"
Arnold 2,1614 E 6th Street,78702,115,20,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,Lincoln Property Company,512-861-0111,http://www.arnoldaustin.com,-97.725487,30.26298,"(30.26298, -97.725487)"
1803 E 20th Street,1803 E 20th Street,78722,8,8,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/housing/,-97.7219761033775,30.2805006367646,"(30.2805006367646, -97.7219761033775)"
Lakeside Engineering - Duplexes,1123 Walton Lane,78721,2,1,Duplex,Residential Housing,Project Completed,48200,55050,61950,68800,74350,,,,-97.687279,30.259234,"(30.259234, -97.687279)"
GNDC Alley Flats,2808 Gonzales Street,78702,1,1,Single Family,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.708853,30.260303,"(30.260303, -97.708853)"
SOL,5916 Lux Street,78721,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.6841907066182,30.2591331562492,"(30.2591331562492, -97.6841907066182)"
Pointe on Rio,1901 Rio Grande Street,78705,122,12,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Asset Campus Housing,512-298-4781,http://www.pointeonrio.com/,-97.7449290577006,30.2828530414707,"(30.2828530414707, -97.7449290577006)"
Indie Apartments,1630 E 6th Street,78702,139,15,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Lincoln Property Company,512-474-6343,http://www.indieapartments.com,-97.724864,30.262479,"(30.262479, -97.724864)"
Parkwest Condos,10616 Mellow Meadows Drive,78750,1,1,Single Family,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Frameworks Community Development Corporation,512-386-1500,https://frameworkscdc.org/,-97.8017279083799,30.4604230013685,"(30.4604230013685, -97.8017279083799)"
Heritage Heights,1607 E 9th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.724877,30.265309,"(30.265309, -97.724877)"
Villas on Nueces,2207 Nueces Street,78705,99,10,Multifamily,Student Housing,Building Permit Issued,36120,41280,46440,51600,55740,,512-772-3636,https://www.villasonnueces.com/,-97.743575,30.285871,"(30.285871, -97.743575)"
904 Neal Street,904 Neal Street,78702,2,2,Duplex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.7100588157448,30.2684697354704,"(30.2684697354704, -97.7100588157448)"
Pecan Springs Commons,5811 Sweeney Circle,78723,4,4,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.6789109927531,30.3055821970179,"(30.3055821970179, -97.6789109927531)"
2608 Salado Multifamily,2608 Salado Street,78705,7,1,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Lynx Property Services,512-326-2722,https://www.saladoliving.com/property/property-details/,-97.7455282802996,30.2916194866166,"(30.2916194866166, -97.7455282802996)"
Heritage Heights,1607 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.724505,30.266118,"(30.266118, -97.724505)"
Marshall Apartments,1401 E 12th Street,78702,100,100,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,LEDIC Realty Company,334-472-6935,http://www.marshall-apartments.com/,-97.7248304939111,30.2727037607574,"(30.2727037607574, -97.7248304939111)"
Blunn Creek Apartments,607 Woodward Street,78704,280,252,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,,512-220-4748,,-97.7529689819867,30.2257669971859,"(30.2257669971859, -97.7529689819867)"
Marq on Burnet,6701 Burnet Road,78757,343,34,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,CWS,512-267-5223,https://www.cwsapartments.com/apartments/tx/austin/marq-on-burnet/,-97.7380030846538,30.3426431307462,"(30.3426431307462, -97.7380030846538)"
Accessible Housing Austin! - SF,7624 Cayenne Lane,78741,1,1,Single Family,Accessible Housing,Project Completed,30100,24400,38700,43000,46450,Accessible Housing Austin!,512-640-7781,http://www.ahaustin.org,-97.691337,30.224075,"(30.224075, -97.691337)"
5406 Village Trail,5406 Village Trail,78744,3,3,Single Family,Transitional Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.7459847828035,30.1947866738427,"(30.1947866738427, -97.7459847828035)"
Quarters at Sterling,709 W 22nd Street,78705,100,10,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Quarters at Campus,512-310-7627,http://quartersoncampus2.businesscatalyst.com/sterling.html,-97.7459643960633,30.2849862122157,"(30.2849862122157, -97.7459643960633)"
21 Pearl,911 W 21st Street,78705,136,28,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Lee Properties,512-473-0808,http://21pearlwestcampus.com/,-97.7474614704892,30.2846846204242,"(30.2846846204242, -97.7474614704892)"
Pecan Springs Commons,5807 Sweeney Circle,78723,4,4,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.679026690365,30.3051500320123,"(30.3051500320123, -97.679026690365)"
9215 Kempler Drive,9215 Kempler Drive,78748,2,2,Duplex,Accessible Housing,Project Completed,18100,20650,23250,25800,27900,Accessible Housing Austin!,512-640-7781,http://ahaustin.org/aha-accessible-housing-austin/,-97.8215019883972,30.1806523476176,"(30.1806523476176, -97.8215019883972)"
The Park at Estancia,820 Camino Vaquero Parkway,78652,320,32,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,,,,-97.804756,30.123941,"(30.123941, -97.804756)"
North Shore Apartments (GWTP MDA),110 San Antonio Street,78701,439,50,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Hanover Company,512-559-7559,https://www.northshoreaustin.com/,-97.749563,30.265385,"(30.265385, -97.749563)"
The Seville on 4th Street,1401 E 4th Street,78702,27,3,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Cap Tex Properties,512-801-3792,,-97.7292444453369,30.2616192174149,"(30.2616192174149, -97.7292444453369)"
Carol's House,1805 Heatherglen Lane,78758,1,1,Single Family,Accessible Housing,Project Completed,30100,24400,38700,43000,46450,Accessible Housing Austin!,512-640-7781,http://ahaustin.org/,-97.7016423888114,30.3951714095675,"(30.3951714095675, -97.7016423888114)"
Homestead Oaks,3226 W Slaughter Lane,78748,140,126,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Foundation Communities,512-610-2222,http://foundcom.org/housing/our-austin-communities/homestead-oaks-apartments/,-97.8447200886847,30.1815320898309,"(30.1815320898309, -97.8447200886847)"
Fairway Village Apartments,6118 Fairway Street,78741,128,128,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,,512-386-8888,,-97.702416,30.229522,"(30.229522, -97.702416)"
Lamar Flats,3607 S Lamar Boulevard,78704,308,31,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Greystar,512-842-6658,https://www.greystar.com/properties/austin-tx/groves-south-lamar-apartments?sc_lang=en,-97.787767,30.238968,"(30.238968, -97.787767)"
Galileo,910 W 25th Street,78705,47,5,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Alex Ray,512-522-6787,http://galileoat25th.com/,-97.7473493413822,30.2896399945585,"(30.2896399945585, -97.7473493413822)"
904 Lydia,904 Lydia Street,78702,1,1,Single Family,Residential Housing,Project Completed,18100,20650,23250,25800,27900,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org,-97.7285517036128,30.267405274892,"(30.267405274892, -97.7285517036128)"
